iter	Logloss
0	0.6829453591
1	0.6734568607
2	0.6624879485
3	0.6532119138
4	0.6425674097
5	0.6333512715
6	0.6229367014
7	0.6151483454
8	0.6035955589
9	0.5942994635
10	0.585384581
11	0.5768328243
12	0.5688426739
13	0.5604360871
14	0.5526533738
15	0.5447263577
16	0.5380921138
17	0.5302854517
18	0.5240117886
19	0.5171648719
20	0.5108972187
21	0.5026165092
22	0.4948761372
23	0.4887790437
24	0.4811157503
25	0.4749424473
26	0.4687384283
27	0.4628338098
28	0.4575048106
29	0.4506582762
30	0.4438659621
31	0.438392039
32	0.432215028
33	0.4273957394
34	0.4212394009
35	0.4159807719
36	0.4110165619
37	0.4065130672
38	0.4001897325
39	0.3949006117
40	0.3893068798
41	0.3846330181
42	0.379378284
43	0.3752681477
44	0.3702704633
45	0.36498847
46	0.3604848946
47	0.3554688478
48	0.3515665198
49	0.3462859883
50	0.3421414002
51	0.3382124691
52	0.3342500419
53	0.3301031622
54	0.3263031016
55	0.3221291353
56	0.3185537857
57	0.314416286
58	0.3107288985
59	0.3063347304
60	0.302164811
61	0.2983288438
62	0.2944270427
63	0.2905128857
64	0.2875272865
65	0.2845204207
66	0.2804613682
67	0.2766287593
68	0.2729658234
69	0.2698202698
70	0.2665013982
71	0.2634569751
72	0.2602436484
73	0.2584375585
74	0.2553819452
75	0.252613457
76	0.2495401702
77	0.2471020435
78	0.2442620093
79	0.242290495
80	0.2397334755
81	0.2372461945
82	0.2342870427
83	0.2321996362
84	0.2294344176
85	0.2271640021
86	0.2249545485
87	0.2224940545
88	0.2200498992
89	0.2184643438
90	0.2163208604
91	0.2143663962
92	0.2122814267
93	0.2103368132
94	0.2082113306
95	0.2061650052
96	0.2045801763
97	0.2027999886
98	0.2009938038
99	0.1994350418
100	0.1977370971
101	0.1960837817
102	0.1942622422
103	0.1923565955
104	0.1905919898
105	0.1887560062
106	0.1869571571
107	0.1849749599
108	0.1836616376
109	0.1817645918
110	0.1803002174
111	0.1786712726
112	0.1771304742
113	0.1753401347
114	0.1737003845
115	0.1722536726
116	0.1702413274
117	0.1685936471
118	0.1670593845
119	0.1656085468
120	0.1641368735
121	0.1628017467
122	0.1618689166
123	0.1608001375
124	0.159645218
125	0.1582037018
126	0.1570955209
127	0.1558717138
128	0.1542761346
129	0.1529771662
130	0.1518137136
131	0.1507136537
132	0.1493464469
133	0.1483986439
134	0.1472817968
135	0.1463831991
136	0.1450620646
137	0.1440062635
138	0.1431874139
139	0.1421823881
140	0.1407982043
141	0.1398923288
142	0.1388501381
143	0.1380984891
144	0.1370920269
145	0.1357094059
146	0.134805255
147	0.1337816247
148	0.1329832064
149	0.1322624444
150	0.1311812246
151	0.1304056127
152	0.129574605
153	0.1287383263
154	0.1276752306
155	0.1268777873
156	0.1258781213
157	0.125320733
158	0.1243004277
159	0.1234962651
160	0.1226084132
161	0.1218092297
162	0.1212509643
163	0.1204334432
164	0.1196462709
165	0.1188689887
166	0.118169261
167	0.1172942316
168	0.1164711312
169	0.1157157957
170	0.1148203046
171	0.1140279488
172	0.1132478031
173	0.1122968569
174	0.1115002569
175	0.110592314
176	0.1097454267
177	0.1089974595
178	0.1085179015
179	0.1077627819
180	0.1069483655
181	0.1062322525
182	0.105456406
183	0.1047604844
