iter	Passed	Remaining
0	141	141622
1	145	72639
2	148	49456
3	152	37876
4	155	30892
5	158	26296
6	162	23046
7	165	20534
8	168	18571
9	171	17007
10	175	15760
11	178	14710
12	181	13804
13	184	13029
14	188	12354
15	192	11810
16	195	11295
17	198	10830
18	201	10405
19	204	10032
20	208	9725
21	211	9418
22	215	9141
23	218	8875
24	221	8638
25	225	8455
26	228	8249
27	232	8067
28	235	7884
29	240	7768
30	243	7616
31	247	7471
32	250	7334
33	254	7234
34	258	7126
35	263	7052
36	266	6939
37	271	6862
38	274	6764
39	277	6663
40	281	6576
41	284	6491
42	288	6414
43	291	6330
44	294	6248
45	297	6179
46	301	6115
47	304	6046
48	308	5981
49	311	5915
50	316	5897
51	321	5853
52	324	5800
53	327	5741
54	330	5683
55	333	5615
56	336	5563
57	339	5512
58	342	5463
59	346	5420
60	349	5385
61	352	5337
62	355	5291
63	359	5253
64	362	5211
65	365	5172
66	369	5142
67	372	5107
68	375	5071
69	378	5031
70	381	4993
71	384	4955
72	387	4921
73	390	4885
74	393	4850
75	396	4816
76	399	4787
77	402	4757
78	405	4725
79	408	4693
80	411	4663
81	413	4634
82	417	4611
83	420	4584
84	424	4572
85	428	4556
86	433	4550
87	437	4535
88	441	4514
89	444	4496
90	447	4472
91	451	4454
92	454	4433
93	457	4409
94	460	4385
95	463	4362
96	466	4342
97	469	4321
98	472	4298
99	475	4278
100	478	4257
101	481	4237
102	484	4216
103	487	4199
104	490	4178
105	493	4162
106	496	4144
107	499	4127
108	502	4108
109	505	4089
110	508	4072
111	512	4060
112	516	4050
113	519	4040
114	523	4026
115	528	4028
116	531	4012
117	534	3995
118	537	3976
119	542	3974
120	545	3962
121	549	3957
122	553	3945
123	557	3935
124	560	3922
125	563	3908
126	566	3896
127	570	3885
128	574	3876
129	577	3864
130	581	3854
131	584	3842
132	587	3827
133	590	3816
134	594	3806
135	597	3792
136	599	3779
137	602	3765
138	606	3756
139	609	3744
140	612	3733
141	615	3721
142	618	3708
143	622	3699
144	625	3689
145	628	3677
146	631	3664
147	634	3651
148	637	3643
149	641	3632
150	644	3621
151	646	3609
152	649	3597
153	653	3591
154	657	3582
155	660	3571
156	662	3559
157	665	3548
158	668	3537
159	672	3528
160	676	3523
161	679	3512
162	681	3501
163	685	3493
164	688	3482
165	691	3471
166	694	3461
167	696	3451
168	699	3441
169	702	3431
170	707	3428
171	710	3419
172	713	3409
173	716	3399
174	719	3390
175	722	3380
176	724	3370
177	727	3360
178	730	3350
179	733	3341
180	736	3332
181	739	3323
182	742	3313
183	746	3310
